pathloss,doppler shift,label
0.335021246,1.570273401,NA
2.367160398,2.402068486,NA
1.168186642,2.642966837,NA
0.267755509,2.354412438,NA
-0.075771792,3.41974708,NA
-2.987916658,2.461895971,NA
-13.14872095,3.398471313,NA
-16.60907765,2.924490869,NA
-8.203906219,5.107618429,NA
1.182580422,3.297582753,NA
-13.23587504,4.364369632,NA
-15.33997474,4.209441478,NA
1.888205184,6.93859707,NA
3.068935794,1.166541882,NA
-3.889168729,2.650434463,NA
0.705767802,2.552852789,NA
1.825266046,6.90774473,NA
2.499682536,2.568436531,NA
5.715588037,1.588268408,NA
5.382701761,2.381996128,NA
8.018411582,3.409399231,NA
-11.22301342,2.912743454,NA
2.504072247,3.122834585,NA
1.240369211,1.70297813,NA
-8.005989845,3.558630056,NA
4.311862697,3.246535109,NA
-12.83056145,1.765110323,NA
-18.06358715,3.031346655,NA
-10.80161405,4.484789938,NA
-20.07560756,2.122272144,NA
14.8123829,5.291606137,NA
-15.42934693,1.799291818,NA
-9.947240597,1.407020037,NA
-3.34832921,6.469002452,NA
4.54153655,5.335367358,NA
1.5780013,1.379450709,NA
-8.600475547,1.729742501,NA
0.255298283,1.92088423,NA
-12.8948179,2.507931301,NA
-12.28080514,1.062353038,NA
-1.229417911,3.111504704,NA
1.832967523,5.208357734,NA
1.850499142,3.385699479,NA
15.55062957,9.844128015,NA
3.687269533,1.180300695,NA
3.091022638,1.206318565,NA
4.932605123,3.607790432,NA
-8.160027913,1.339944198,NA
-10.76182157,3.133494114,NA
-15.72642382,2.247333954,NA
3.523086029,2.037589688,NA
-12.85436093,1.786224538,NA
0.647957915,2.002017717,NA
-10.40690887,1.633430573,NA
0.286349968,2.069250167,NA
-10.54195809,2.12173694,NA
2.246692738,2.686202011,NA
-9.931744458,2.430794043,NA
-0.230477273,3.387646497,NA
0.218126696,3.526879995,NA
-10.79678519,1.131714692,NA
8.574936328,0.730136776,NA
1.38168062,0.891188996,NA
-5.037215675,0.603494467,NA
1.337019951,2.349131586,NA
0.803862538,-0.328408946,NA
-4.07599387,-0.788996324,NA
-10.12643235,1.557752643,NA
-5.227149104,4.37211047,NA
-2.254224803,3.195391097,NA
-10.7193994,2.315013146,NA
-11.69273095,2.537625685,NA
9.862746959,3.365714652,NA
5.151376942,3.678650661,NA
7.028481297,3.831076562,NA
